Semaine,stablecoin: (Suisse)
2021-10-10,17
2021-10-17,0
2021-10-24,15
2021-10-31,12
2021-11-07,0
2021-11-14,40
2021-11-21,12
2021-11-28,17
2021-12-05,0
2021-12-12,8
2021-12-19,17
2021-12-26,0
2022-01-02,11
2022-01-09,10
2022-01-16,15
2022-01-23,17
2022-01-30,11
2022-02-06,0
2022-02-13,10
2022-02-20,12
2022-02-27,21
2022-03-06,28
2022-03-13,0
2022-03-20,17
2022-03-27,12
2022-04-03,47
2022-04-10,12
2022-04-17,0
2022-04-24,30
2022-05-01,13
2022-05-08,100
2022-05-15,49
2022-05-22,16
2022-05-29,18
2022-06-05,18
2022-06-12,25
2022-06-19,12
2022-06-26,9
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,22
2022-08-14,9
2022-08-21,13
2022-08-28,11
2022-09-04,0
2022-09-11,11
2022-09-18,0
2022-09-25,0
2022-10-02,0
